seq_id,state,label,confidence,stress,slouch_score,spine_angle,arms_crossed_rate,face_touch_rate
0,upright,0,55.95,44.05,0.3764,1.77,1.0,0.0
1,upright,0,56.1,43.9,0.3265,1.38,1.0,0.0
2,upright,0,56.14,43.86,0.3337,1.12,1.0,0.0
3,upright,0,56.54,43.46,0.3209,1.81,1.0,0.0
4,upright,0,56.0,44.0,0.3517,1.0,1.0,0.0
5,upright,0,56.12,43.88,0.3229,1.19,1.0,0.0
6,upright,0,55.81,44.19,0.3845,1.89,1.0,0.0
7,upright,0,55.78,44.22,0.3526,1.2,1.0,0.0
8,upright,0,55.05,44.95,0.3874,1.74,1.0,0.0
9,upright,0,56.07,43.93,0.3439,1.58,1.0,0.0
10,upright,0,56.68,43.32,0.3077,1.03,1.0,0.0
11,upright,0,56.51,43.49,0.3118,1.05,1.0,0.0
12,upright,0,55.66,44.34,0.3714,1.72,1.0,0.0
13,upright,0,55.08,44.92,0.3906,2.66,1.0,0.0
14,upright,0,56.32,43.68,0.3405,1.51,1.0,0.0
15,upright,0,56.31,43.69,0.3749,2.3,1.0,0.0
16,upright,0,55.39,44.61,0.3851,2.93,1.0,0.0
17,upright,0,55.22,44.78,0.4128,2.45,1.0,0.0
18,upright,0,55.85,44.15,0.3822,2.35,1.0,0.0
19,upright,0,55.99,44.01,0.3653,1.75,1.0,0.0
20,upright,0,56.25,43.75,0.3849,2.89,1.0,0.0
21,upright,0,55.62,44.38,0.3876,2.05,1.0,0.0
22,upright,0,56.25,43.75,0.3739,2.66,1.0,0.0
23,upright,0,55.22,44.78,0.4077,2.9,1.0,0.0
24,upright,0,55.76,44.24,0.3876,2.87,1.0,0.0
25,upright,0,56.17,43.83,0.3532,1.42,1.0,0.0
26,upright,0,55.47,44.53,0.3765,2.25,1.0,0.0
27,upright,0,55.99,44.01,0.3477,2.11,1.0,0.0
28,upright,0,55.16,44.84,0.4169,3.0,1.0,0.0
29,upright,0,55.78,44.22,0.3445,1.21,1.0,0.0
30,upright,0,55.98,44.02,0.3329,0.91,1.0,0.0
31,upright,0,56.23,43.77,0.3416,1.33,1.0,0.0
32,upright,0,55.68,44.32,0.3767,2.23,1.0,0.0
33,upright,0,55.43,44.57,0.3843,2.92,1.0,0.0
34,upright,0,55.62,44.38,0.3846,2.38,1.0,0.0
35,upright,0,55.44,44.56,0.3686,2.1,1.0,0.0
36,upright,0,56.13,43.87,0.3284,1.02,1.0,0.0
37,upright,0,55.82,44.18,0.3437,2.54,1.0,0.0
38,upright,0,55.81,44.19,0.376,1.82,1.0,0.0
39,upright,0,55.86,44.14,0.3533,1.88,1.0,0.0
40,upright,0,55.85,44.15,0.3516,2.4,1.0,0.0
41,upright,0,55.81,44.19,0.3703,1.74,1.0,0.0
42,upright,0,56.08,43.92,0.3698,2.24,1.0,0.0
43,upright,0,56.04,43.96,0.3336,1.37,1.0,0.0
44,upright,0,56.41,43.59,0.3742,2.51,1.0,0.0
45,upright,0,56.12,43.88,0.3299,1.14,1.0,0.0
46,upright,0,55.35,44.65,0.4025,1.76,1.0,0.0
47,upright,0,55.95,44.05,0.3656,2.48,1.0,0.0
48,upright,0,55.89,44.11,0.3734,2.28,1.0,0.0
49,upright,0,55.78,44.22,0.3486,1.12,1.0,0.0
50,upright,0,55.19,44.81,0.4097,2.85,1.0,0.0
51,upright,0,55.6,44.4,0.3932,2.63,1.0,0.0
52,upright,0,55.51,44.49,0.4205,3.03,1.0,0.0
53,upright,0,55.0,45.0,0.4088,1.62,1.0,0.0
54,upright,0,56.42,43.58,0.3173,1.01,1.0,0.0
55,upright,0,55.55,44.45,0.3743,2.08,1.0,0.0
56,upright,0,55.71,44.29,0.362,1.64,1.0,0.0
57,upright,0,55.79,44.21,0.3494,0.94,1.0,0.0
58,upright,0,55.72,44.28,0.3926,2.6,1.0,0.0
59,upright,0,56.18,43.82,0.353,2.37,1.0,0.0
60,upright,0,55.02,44.98,0.42,3.11,1.0,0.0
61,upright,0,55.9,44.1,0.3618,2.3,1.0,0.0
62,upright,0,56.28,43.72,0.3413,1.24,1.0,0.0
63,upright,0,55.36,44.64,0.3927,1.67,1.0,0.0
64,upright,0,56.06,43.94,0.3425,1.21,1.0,0.0
65,upright,0,55.56,44.44,0.3968,2.0,1.0,0.0
66,upright,0,55.53,44.47,0.3719,2.07,1.0,0.0
67,upright,0,55.35,44.65,0.4016,2.45,1.0,0.0
68,upright,0,56.24,43.76,0.3231,0.88,1.0,0.0
69,upright,0,55.83,44.17,0.36,1.19,1.0,0.0
70,upright,0,55.91,44.09,0.3363,2.07,1.0,0.0
71,upright,0,56.17,43.83,0.3618,1.48,1.0,0.0
72,upright,0,56.08,43.92,0.377,1.77,1.0,0.0
73,upright,0,54.99,45.01,0.3863,2.54,1.0,0.0
74,upright,0,55.62,44.38,0.3838,2.81,1.0,0.0
75,upright,0,56.16,43.84,0.3331,1.8,1.0,0.0
76,upright,0,56.19,43.81,0.3418,1.16,1.0,0.0
77,upright,0,55.78,44.22,0.3981,2.46,1.0,0.0
78,upright,0,56.36,43.64,0.3298,1.05,1.0,0.0
79,upright,0,55.8,44.2,0.3532,2.04,1.0,0.0
80,upright,0,55.97,44.03,0.354,2.13,1.0,0.0
81,upright,0,56.3,43.7,0.3316,1.31,1.0,0.0
82,upright,0,56.57,43.43,0.3071,1.06,1.0,0.0
83,upright,0,56.07,43.93,0.3643,2.27,1.0,0.0
