venue_id,venue_name_clean,venue_address,latitude,longitude,geo_zone,distance_from_tunis_km,day_int,day_text,day_text_fr,day_mean,day_max,traffic_pct,hour,hour_period,visit_window_quality
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,0,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,1,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,2,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,3,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,4,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,5,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,6,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,7,Nuit (0-7h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,8,Matin (8-11h),Trop calme (fermé?)
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,0,Monday,Lundi,26.0,92.0,0.0,9,Matin (8-11h),Trop calme (fermé?)
